Player,Next_Season,Similar_Player,Similar_Player_Season
A.C. Green,1987,Boris Diaw,2015
A.C. Green,1988,P.J. Brown,2000
A.C. Green,1989,P.J. Brown,1998
A.C. Green,1990,Gene Banks,1983
A.C. Green,1991,Horace Grant,2001
A.C. Green,1992,Channing Frye,2014
A.C. Green,1993,Taj Gibson,2018
A.C. Green,1994,Bo Outlaw,2000
A.C. Green,1995,Dale Davis,1994
A.C. Green,1996,Jamario Moon,2009
A.C. Green,1997,Jud Buechler,1999
A.C. Green,1998,Dāvis Bertāns,2021
A.C. Green,1998,Tom Abernethy,1980
A.C. Green,1998,Fred Roberts,1990
A.C. Green,1999,Grant Long,1990
A.C. Green,2000,Eduardo Nájera,2005
A.C. Green,2001,Jerami Grant,2017
A.J. English,1992,Justin Holiday,2015
A.J. Guyton,2002,Dante Exum,2019
A.J. Price,2011,Geoff Huston,1981
A.J. Price,2012,Pooh Richardson,1997
A.J. Price,2013,Larry Drew,1988
A.J. Price,2014,Cuttino Mobley,1999
A.J. Price,2015,Dell Curry,1987
Aaron Brooks,2009,Darnell Valentine,1982
Aaron Brooks,2010,T.J. McConnell,2019
Aaron Brooks,2011,Fat Lever,1986
Aaron Brooks,2012,Avery Johnson,1991
Aaron Brooks,2012,Jon Sundvold,1984
Aaron Brooks,2012,Chucky Atkins,2004
Aaron Brooks,2014,Ish Smith,2021
Aaron Brooks,2014,Brandon Knight,2012
Aaron Brooks,2015,Doc Rivers,1995
Aaron Brooks,2015,Eddie House,2010
Aaron Brooks,2015,Kendrick Nunn,2020
Aaron Brooks,2016,Devin Harris,2017
Aaron Brooks,2017,A.J. Price,2012
Aaron Brooks,2018,Tyler Ennis,2016
Aaron Gordon,2016,Matt Bonner,2008
Aaron Gordon,2017,Loy Vaught,1995
Aaron Gordon,2018,Johnny Newman,1993
Aaron Gordon,2019,Derek Strong,1998
Aaron Gordon,2020,Kurt Rambis,1989
Aaron Gordon,2021,Serge Ibaka,2010
Aaron Gordon,2022,Clarence Weatherspoon,1998
Aaron Gordon,2022,Tyrus Thomas,2008
Aaron Gordon,2022,Christian Laettner,2002
Aaron Gordon,2023,Eduardo Nájera,2002
Aaron Gray,2009,John Thomas,1999
Aaron Gray,2010,Clemon Johnson,1985
Aaron Gray,2011,Jason Smith,2016
Aaron Gray,2011,Mike Gminski,1982
Aaron Gray,2012,Joe Kleine,1994
Aaron Gray,2013,Tree Rollins,1992
Aaron Gray,2014,Scott Lloyd,1981
Aaron Gray,2015,Stuart Gray,1989
Aaron Holiday,2020,Earl Watson,2006
Aaron Holiday,2021,Darrick Martin,1998
Aaron Holiday,2022,Bimbo Coles,1996
Aaron Holiday,2023,Marko Jarić,2004
Aaron Holiday,2023,Charlie Ward,1996
Aaron Holiday,2023,Dirk Minniefield,1986
Aaron McKie,1996,Dennis Hopson,1990
Aaron McKie,1997,Craig Ehlo,1989
Aaron McKie,1998,Eric Piatkowski,2005
Aaron McKie,1998,Clint Richardson,1984
Aaron McKie,1998,Eric Gordon,2010
Aaron McKie,1999,Mickaël Piétrus,2011
Aaron McKie,1999,Cedi Osman,2020
Aaron McKie,1999,Dahntay Jones,2005
Aaron McKie,2000,Steve Smith,2003
Aaron McKie,2001,Eric Gordon,2017
Aaron McKie,2002,Manu Ginóbili,2003
Aaron McKie,2003,Trent Tucker,1986
Aaron McKie,2004,Mike O'Koren,1981
Aaron McKie,2005,Kyle Kuzma,2021
Aaron Nesmith,2022,Justin Jackson,2019
Aaron Nesmith,2023,Rod Higgins,1985
Aaron Wiggins,2023,Garrett Temple,2015
Aaron Williams,1998,Elvin Hayes,1983
Aaron Williams,1999,Jeff Cook,1983
Aaron Williams,2000,Vladimir Radmanović,2006
Aaron Williams,2001,Joe Smith,2008
Aaron Williams,2002,Jason Caffey,1997
Aaron Williams,2003,Darko Miličić,2007
Aaron Williams,2004,Greg Anderson,1997
Aaron Williams,2005,Ekpe Udoh,2012
Aaron Williams,2006,Jerome Whitehead,1989
Aaron Williams,2006,Stuart Gray,1990
Aaron Williams,2007,Dave Corzine,1989
Aaron Williams,2007,Aaron Gray,2012
Aaron Williams,2008,Corie Blount,2000
Abdel Nader,2019,Kevin Knox,2021
Abdel Nader,2020,Landry Fields,2013
Abdel Nader,2021,Al Thornton,2010
Abdul Jeelani,1981,Glenn Robinson,1995
Acie Earl,1995,Johan Petro,2010
Acie Earl,1996,Dale Davis,2006
Acie Earl,1997,Robin Lopez,2011
Acie Earl,1998,Ryan Hollins,2016
Acie Law,2009,Jordan Farmar,2009
Acie Law,2010,Elliot Perry,1998
Acie Law,2011,A.J. Price,2010
Acie Law,2012,Sam Jacobson,2000
Adam Keefe,1994,Brian Cardinal,2005
Adam Keefe,1995,Juwan Howard,2000
Adam Keefe,1996,Donald Royal,1994
Adam Keefe,1997,Larry Smith,1986
